Provenr	Medium_id	Enhet_id	Site_name	Site_Category	Comment_location	Comment_season	Comment_condition	Site_Comment	compound	value	Medium_id2	lodcount	n	det_frac	plotting	meanx
NR-2022-06916	Water, filtered (ng/L)	ng/L	V?lerengatunnelen	Tunnel environment	Treated discharge	NA	During	Utslipp renset vann - UNDERVEIS 1	IPPD	<50	Water	14	14	0	NA	NA
NR-2022-06932	Water, particles (ng/L)	ng/L	V?lerengatunnelen	Tunnel environment	Treated discharge	NA	During	Utslipp renset vann - UNDERVEIS 1	IPPD	<50	Water	16	16	0	NA	NA
NR-2022-06917	Water, filtered (ng/L)	ng/L	V?lerengatunnelen	Tunnel environment	Treated discharge	NA	During	Utslipp renset vann - UNDERVEIS 2	IPPD	<50	Water	14	14	0	NA	NA
NR-2022-06933	Water, particles (ng/L)	ng/L	V?lerengatunnelen	Tunnel environment	Treated discharge	NA	During	Utslipp renset vann - UNDERVEIS 2	IPPD	<50	Water	16	16	0	NA	NA
NR-2022-06918	Water, filtered (ng/L)	ng/L	V?lerengatunnelen	Tunnel environment	Treated discharge	NA	End	Utslipp renset vann - SLUTT 1	IPPD	<50	Water	14	14	0	NA	NA
NR-2022-00523	Water, particles (ng/L)	ng/L	V?lerengatunnelen	Tunnel environment	Treated discharge	NA	End	Utslipp renset vann - SLUTT 1	IPPD	<50	Water	16	16	0	NA	NA
NR-2022-06919	Water, filtered (ng/L)	ng/L	V?lerengatunnelen	Tunnel environment	Treated discharge	NA	End	Utslipp renset vann - SLUTT 2	IPPD	<50	Water	14	14	0	NA	NA
NR-2022-00524	Water, particles (ng/L)	ng/L	V?lerengatunnelen	Tunnel environment	Treated discharge	NA	End	Utslipp renset vann - SLUTT 2	IPPD	<50	Water	16	16	0	NA	NA
NR-2022-06808	Sludge (ng/g, d.w.)	ng/g	Smestadtunnelen	Tunnel environment	Sandtrap	NA	Inlet	Sandfang innl?p	IPPD	33.529	Solids	0	8	100	33.529	33.803125
NR-2022-06809	Sludge (ng/g, d.w.)	ng/g	Smestadtunnelen	Tunnel environment	Sandtrap	NA	Inlet	Sandfang innl?p	IPPD	25.385	Solids	0	8	100	25.385	33.803125
NR-2022-06810	Sludge (ng/g, d.w.)	ng/g	Smestadtunnelen	Tunnel environment	Sandtrap	NA	Outlet	Sandfang utl?p	IPPD	36.5	Solids	0	8	100	36.5	33.803125
NR-2022-06811	Sludge (ng/g, d.w.)	ng/g	Smestadtunnelen	Tunnel environment	Sandtrap	NA	Outlet	Sandfang utl?p	IPPD	52	Solids	0	8	100	52	33.803125
NR-2022-06826	Sludge (ng/g, d.w.)	ng/g	V?lerengatunnelen	Tunnel environment	Sedimentation pool	NA	NA	Rensebasseng	IPPD	53.438	Solids	0	8	100	53.438	33.803125
NR-2022-06827	Sludge (ng/g, d.w.)	ng/g	V?lerengatunnelen	Tunnel environment	Sedimentation pool	NA	NA	Rensebasseng	IPPD	61.212	Solids	0	8	100	61.212	33.803125
NR-2022-06812	Sludge (ng/g, d.w.)	ng/g	Smestadtunnelen	Tunnel environment	Sweeping and vacuuming truck	NA	NA	Smestad feiebil	IPPD	4.75	Solids	0	8	100	4.75	33.803125
NR-2022-06813	Sludge (ng/g, d.w.)	ng/g	Smestadtunnelen	Tunnel environment	Sweeping and vacuuming truck	NA	NA	Smestad feiebil	IPPD	3.611	Solids	0	8	100	3.611	33.803125
NR-2022-06797	Sediment (ng/g, d.w.)	ng/g	Smestaddammen	Tunnel environment	Recipient pond_upper	NA	NA	?vre	IPPD	<1	Solids	2	2	0	NA	NA
NR-2022-06796	Sediment (ng/g, d.w.)	ng/g	Smestaddammen	Tunnel environment	Recipient pond_lower	NA	NA	nedre	IPPD	<1	Solids	2	2	0	NA	NA
NR-2022-06866	Water, filtered (ng/L)	ng/L	Smestaddammen	Tunnel environment	Recipient pond_upper	NA	NA	?vre	IPPD	<1.0	Water	14	14	0	NA	NA
NR-2022-06868	Water, particles (ng/L)	ng/L	Smestaddammen	Tunnel environment	Recipient pond_upper	NA	NA	?vre	IPPD	<1.0	Water	16	16	0	NA	NA
NR-2022-06867	Water, filtered (ng/L)	ng/L	Smestaddammen	Tunnel environment	Recipient pond_lower	NA	NA	nedre	IPPD	<1.0	Water	14	14	0	NA	NA
NR-2022-06869	Water, particles (ng/L)	ng/L	Smestaddammen	Tunnel environment	Recipient pond_lower	NA	NA	nedre	IPPD	<1.0	Water	16	16	0	NA	NA
NR-2022-07074	Biota (ng/g, w.w.)	ng/g ww	Padderudvannet	Recipient	Freshwater	NA	Perch liver and filet	abbor - lever	IPPD	<0.5	Biota	6	6	0	NA	NA
NR-2022-07075	Biota (ng/g, w.w.)	ng/g ww	Padderudvannet	Recipient	Freshwater	NA	Perch liver and filet	abbor - lever	IPPD	<0.5	Biota	6	6	0	NA	NA
NR-2022-07076	Biota (ng/g, w.w.)	ng/g ww	Padderudvannet	Recipient	Freshwater	NA	Perch liver and filet	abbor - lever	IPPD	<0.5	Biota	6	6	0	NA	NA
NR-2022-07077	Biota (ng/g, w.w.)	ng/g ww	Padderudvannet	Recipient	Freshwater	NA	Duck mussel	andemusling	IPPD	<0.5	Biota	6	6	0	NA	NA
NR-2022-07078	Biota (ng/g, w.w.)	ng/g ww	Padderudvannet	Recipient	Freshwater	NA	Duck mussel	andemusling	IPPD	<0.5	Biota	6	6	0	NA	NA
NR-2022-07079	Biota (ng/g, w.w.)	ng/g ww	Padderudvannet	Recipient	Freshwater	NA	Duck mussel	andemusling	IPPD	<0.5	Biota	6	6	0	NA	NA
NR-2022-06982	Air, particles (ng/m^3)	ng/m3	Obos1	Artificial grass pitch	Indoor	NA	NA	Indoor	IPPD	<10	Air	3	3	0	NA	NA
NR-2022-06983	Air, particles (ng/m^3)	ng/m3	Obos2	Artificial grass pitch	Indoor	NA	NA	Indoor	IPPD	<10	Air	3	3	0	NA	NA
NR-2022-06984	Air, particles (ng/m^3)	ng/m3	LSK	Artificial grass pitch	Indoor	NA	NA	Indoor	IPPD	<10	Air	3	3	0	NA	NA
NR-2022-07019	Dust (ng/g, w.w.)	ng/g	Bamble_Skjerk?ya	Tyre collection site	Outdoor surface	Near shredder	NA	Hus n?r skredder	IPPD	28.834	Air	0	3	100	28.834	22.63433333
NR-2022-07020	Dust (ng/g, w.w.)	ng/g	Bamble_Skjerk?ya	Tyre collection site	Outdoor surface	Outside workshop	NA	Utenfor verksted	IPPD	27.51	Air	0	3	100	27.51	22.63433333
NR-2022-07021	Dust (ng/g, w.w.)	ng/g	Bamble_Skjerk?ya	Tyre collection site	Outdoor surface	Near grab	NA	Ved grabbene	IPPD	11.559	Air	0	3	100	11.559	22.63433333
NR-2022-07004	Dust (ng/g, w.w.)	ng/g	Residental 1	Private home	Private home	NA	NA	Bolig1	IPPD	<10	Air	6	6	0	NA	NA
NR-2022-07006	Dust (ng/g, w.w.)	ng/g	Residental 3	Private home	Private home	NA	NA	Bolig3	IPPD	<10	Air	6	6	0	NA	NA
NR-2022-07007	Dust (ng/g, w.w.)	ng/g	Residental 4	Private home	Private home	NA	NA	Bolig4	IPPD	<10	Air	6	6	0	NA	NA
NR-2022-07008	Dust (ng/g, w.w.)	ng/g	Residental 5	Private home	Private home	NA	NA	Bolig5	IPPD	<10	Air	6	6	0	NA	NA
NR-2022-07009	Dust (ng/g, w.w.)	ng/g	Residental 6	Private home	Private home	NA	NA	Bolig6	IPPD	<10	Air	6	6	0	NA	NA
NR-2022-07010	Dust (ng/g, w.w.)	ng/g	Residental 7	Private home	Private home	NA	NA	Bolig7	IPPD	<10	Air	6	6	0	NA	NA
NR-2022-07022	Dust (ng/g, w.w.)	ng/g	Dental clinic 1	Commercial building	Dental clinic	NA	NA	Tannklinikk1	IPPD	<10	Air	9	9	0	NA	NA
NR-2022-07023	Dust (ng/g, w.w.)	ng/g	Dental clinic 2	Commercial building	Dental clinic	NA	NA	Tannklinikk2	IPPD	<10	Air	9	9	0	NA	NA
NR-2022-07024	Dust (ng/g, w.w.)	ng/g	Dental clinic 3	Commercial building	Dental clinic	NA	NA	Tannklinikk3	IPPD	<10	Air	9	9	0	NA	NA
NR-2022-07013	Dust (ng/g, w.w.)	ng/g	3D-printing 1	Commercial building	Printing 3D	NA	NA	3D-print1	IPPD	<10	Air	9	9	0	NA	NA
NR-2022-07014	Dust (ng/g, w.w.)	ng/g	3D-printing 2	Commercial building	Printing 3D	NA	NA	3D-print2	IPPD	<10	Air	9	9	0	NA	NA
NR-2022-07015	Dust (ng/g, w.w.)	ng/g	3D-printing 3	Commercial building	Printing 3D	NA	NA	3D-print3	IPPD	<10	Air	9	9	0	NA	NA
NR-2022-07016	Dust (ng/g, w.w.)	ng/g	Furniture store 1	Commercial building	Furniture store	NA	NA	M?belvarehus1	IPPD	<10	Air	9	9	0	NA	NA
NR-2022-07017	Dust (ng/g, w.w.)	ng/g	Furniture store 2	Commercial building	Furniture store	NA	NA	M?belvarehus2	IPPD	<10	Air	9	9	0	NA	NA
